name,completeness,1.97.1.-,1.97.1.8,1.18.6.1,1.1.1.-,3.3.2.10,1.14.13.69,4.2.1.112,3.8.1.5,1.1.1.1,1.2.1.3,3.8.1.-,4.1.1.-,1.14.-.-,1.1.-.-,1.14.13.-,1.2.1.46,4.5.1.3,1.1.2.7,1.1.2.8,3.8.1.3,3.8.1.2,1.14.12.11,1.13.12.-,1.2.98.1
MW1_J1,0.8333333333333334,161,0,913,10269,4,0,0,22,83,147,93,14751,982,11272,629,4,1,1,9,26,36,0,24,1
MW1_O1,0.75,121,0,540,11323,1,0,0,39,153,279,96,9662,1422,12482,846,3,0,4,48,16,31,0,53,0
MW2_F1,0.75,181,0,2108,9490,1,0,1,11,175,251,22,6519,785,10056,481,1,0,9,29,0,9,0,53,0
MW2_J1,0.625,110,0,1731,9977,0,0,0,12,145,338,15,11803,527,10543,250,1,0,17,19,0,0,0,88,0
MW2_O1,0.7083333333333334,154,1,2077,7516,1,0,0,8,126,148,15,6528,319,7835,200,0,0,8,19,0,7,0,33,0
MW3_F1,0.625,126,0,2334,8072,0,0,0,5,85,67,15,6695,149,8635,86,1,0,0,6,0,4,0,45,0
MW3_J1,0.5833333333333334,97,0,2042,7295,0,0,0,4,61,54,11,12908,124,7794,65,0,0,0,2,0,3,0,15,0
MW3_O1,0.7083333333333334,113,0,2165,8602,1,0,0,8,120,86,15,6781,223,9137,128,0,0,3,13,3,3,0,34,0
MW4_F1,0.7083333333333334,244,0,2427,9125,0,0,0,8,174,177,14,6293,643,9616,413,1,0,9,1,1,5,0,50,0
MW4_J1,0.5416666666666666,27,0,404,1522,0,0,0,2,29,28,4,1095,86,1599,50,0,0,2,0,0,0,0,1,0
MW4_O1,0.625,237,0,2492,8608,0,0,0,10,202,210,16,6354,494,8989,338,1,0,0,5,0,3,0,21,0
MW5_J1,0.7916666666666666,207,1,1149,8472,4,0,0,24,126,81,44,10202,541,8980,330,2,0,13,5,1,15,0,41,0
MW5_O1,0.8333333333333334,139,0,1544,11556,8,0,1,27,106,128,80,7986,1443,12497,835,1,4,9,7,7,41,0,21,0
